,text
42,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
43,All my co-workers were amazed at how small the dish was.
44,"The atmosphere is unheralded, the service impecible, and the food magnificant."
45,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
46,"The wait staff is friendly, and the food has gotten better and better!"
47,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
48,Right off the L in Brooklyn this is a nice cozy place with good pizza.
49,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
50,We had the lobster sandwich and it was FANTASTIC.
51,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
52,Deep Fried Skewers are good and still rare to find in NYC.
53,I also recommend the rice dishes or the different varieties of congee (rice porridge).
54,Their tuna tartar appetizer is to die for.
55,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
56,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
57,I love Indian food and consider myself to be quite an expert on it.
58,Some baby pizzas get their wish.
59,Plenty of choices to make your own creation.
60,The lava cake dessert was incredible and I recommend it.
61,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
62,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
63,good selection of wines ranging from affordable to high end.
64,Not impressed with the food.
65,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
66,"Order the panang duck, it's fantastic."
67,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
68,They have authentic Indian at amazin prices.
69,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
70,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
71,and yes Dal Bukhara is so dam good and so are all the kababs.
72,I've been coming here as a child and always come back for the taste.
73,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
74,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
75,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
76,The food always tastes fresh and served promptly.
77,The pizza here is delicious.
78,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
79,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
80,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
81,Hats off to the chef.
82,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
83,Its an excellent place to relax and the food is one of the best in the city of New York.
84,The food was bland oily.
85,"What is even better, is that the prices are very affordable as well, and the food is really good."
86,The fish is fresh but the variety of fish is nothing out of ordinary.
87,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
88,"The food, drinks and service are clearly among the best in the city."
89,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
90,Try the tandoori salmon!
91,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.
92,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
93,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
94,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
95,They were served warm and had a soft fluffy interior.
96,What came to our table was burned beyond recognition and stringy.
97,I had the Pad Thai and the noodles were sticky.
98,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
99,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
100,The food is great.
101,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
102,Decent wine at reasonable prices.
103,even the wine by the glass was good.
104,This dish is my favorite and I always get it when I go there and never get tired of it.
105,"I also ordered the Change Mojito, which was out of this world."
106,The only thing more wonderful than the food (which is exceptional) is the service.
107,"The food was just awful, ATROCIOUS actually."
108,The soup for the udon was soy sauce and water.
109,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
110,The waitress suggested glasses of wine that went very well with the food.
111,"They might be all business at the counter when you give your order, but their food says I love you."
112,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
113,Try their plain pizza with fresh garlic or eggplant.
114,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
115,"Trust me, it will be great, and all of it will be devoured in no time."
116,The pizza is good though.
117,bottles of wine are cheap and good.
118,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
119,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
120,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
121,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
122,Our food was great too!
123,"Please try the Filet Mignon, its just the most tender piece ever."
124,"Everything we had was pretty good, but we have only been there once."
125,The sake menu should not be overlooked!
126,the drinks are amazing and half off till 8pm.
127,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.
128,"The service, wine selection, ambiance are all outstanding and deserve recognition."
129,"The food was pretty good, but a little flavorless and the portions very small, including dessert."
130,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.
131,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
132,The food here does a great service to the name (Cantonese that is...).
133,"But, nothing stands out about the cooking."
134,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
135,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
136,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
137,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item."
138,Too bad the food wasn't of the same heritage.
139,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
140,"The food was really good, I had the onion soup and it was one of the best ever."
141,I'm not picky - but it was actually gross.
142,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
143,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
144,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
145,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
146,If you want good authentic Thai this place is not the place to go.
147,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
148,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
149,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
150,"The food was terrific and the service classy, attentive, without being overbearing."
151,This is an amazing place to try some roti rolls.
152,Fresh ingredients and everything is made to order.
153,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system."
154,"Try the hot dogs too, they're snappy and delicious."
155,Personal pans are the perfect size for those hungry nights.
156,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.
157,just got back from lunch at Tamarind and it was excellent.
158,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's."
159,Try the cheesecake!
160,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.
161,Great Indian food and the service is incredible.
162,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well."
163,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor."
164,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.
165,"Especially liked chicken tikka and the naan, and the dals."
166,The sangria was pretty tasty and good on a hot muggy day.
167,"For the people who want great food plus great service, Roxy is a place to AVOID!"
168,I had the best ravioli ever.
169,"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty."
170,"Quite frankly, this is some of the worst sushi I have ever tried."
171,"The food is great, service is ok."
172,"Spice is great Thai food, love the inexpensive appetizers."
173,"He not only makes his own homemade mozzarella, but every pie is ultra fresh."
174,Fish was overdone.
175,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.
176,"The rest of the dim sum, though pricey by Chinatown standards, is worth it."
177,Good food.
178,The dim sum however was very good.
179,Went there and had a combination of different seafood dishes and appetizers.
180,Plain and simple it's bad thai food.
181,Usually 3 vs. 4 items per dish.
182,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point."
183,"The Dim Sum was so-so, but not spectacular."
184,The food was so-so.
185,Food-awesome.
186,"good music, great food, speedy service affordable prices."
187,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.
188,The sides were ok and incredibly salty.
189,"For some reason, all the seafood on the menu was unavailable except for the Salmon."
190,"The beverages were excellent, and the dessert was good."
191,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks."
192,"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope."
193,Highly recommend this as great value for excellent sushi and service.
194,The food is awesome - definitely try the striped bass.
195,black white shakes came out good also.
196,I ordered the chu chu curry and my friend ordered the pad thai chicken.
197,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.
198,"However, they've got the most amazing pastrami and the soups hit the spot."
199,Great bagels made the old-fashioned way.
200,"This is some really good, inexpensive sushi."
201,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good."
202,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too."
203,The pizza is delicious and the proprietor is one of the nicest in NYC.
204,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
205,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.
206,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi."
207,The desserts are more appealing then stuffy overpriced French restaurants.
208,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner..."
209,"I found the food to be outstanding, particulary the salmon dish I had."
210,Mizu is home to creative and unique rolls not to found anywhere else.
211,Baluchi's has solid food and a nice decor at reasonable prices.
212,"Moules were excellent, lobster ravioli was VERY salty!"
213,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
214,i don't usually order wine with indian so i can't comment on their wine list or their wines.
215,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).
216,"Really though, where's the seasoning?"
217,"The food was just OK, at least for what food was available."
218,The waitress was very patient with us and the food is phenomenal!
219,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back."
220,The location and ambience is Ok but the food is what makes up for it.
221,"otherwise, good stuff for late nite eats."
222,"The dinner was ok, nothing I would have again."
223,It is thick and slightly soggy.
224,I love and I know gourmet food by excellence!
225,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's....."
226,"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu."
227,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd."
228,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation."
229,"The first time the sushi was outstanding, the second time it was a little bland."
230,The portions are large and the servers always surprise us with a different starter.
231,"delicious bagels, especially when right out of the oven."
232,All the food was hot tasty.
233,This is one great place to eat pizza more out but not a good place for take-out pizza.
234,Try green curry with vegetables.
235,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant."
236,"The Pad Thai is excellent here, as well."
237,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
238,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas."
239,"The food is o.k., but not any better than what you get at a good neighborhood restaurant."
240,We had the pot-stickers which were great and a tempura dish that was great.
241,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
242,"Orsay, is without a doubt one of the best values for authentic French food in NYC."
243,"Well, their deliveries take for ever and the food is usually cold."
244,Chinese Desserts are known for healthful benefits in addition to the sweetness.
245,And really large portions.
246,I ordered the smoked salmon and roe appetizer and it was off flavor.
247,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food."
248,"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
249,"The menu was impressive with selections ranging from a burger, to steak, to escargot."
250,"In fact, two people could really share one plate."
251,The food is great and authentic.
252,"Anyway, the food is good, the price is right and they have a decent wine list."
253,Prices are higher to dine in and their chicken tikka marsala is quite good.
254,This place has many different styles of pizza and they are all amazing.
255,The food was lousy - too sweet or too salty and the portions tiny.
256,But the coconut rice was good.
257,The food was great.
258,Pair you food with the excellent beers on tap or their well priced wine list.
259,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.
260,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
261,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
262,"But, they were too big for the bun."
263,"The food is fresh, delicious, and reasonably priced."
264,Raga stands out with an interesting fusion of French and Indian cooking.
265,"A few tips: skip the turnip cake, roast pork buns and egg custards."
266,The bagels are fabulous.
267,"The food was very good, a great deal, and the place its self was great."
268,The food options rule.
269,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary."
270,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight."
271,"Their calzones are horrific, bad, vomit-inducing, YUCK."
272,"Good spreads, great beverage selections and bagels really tasty."
273,"Also, top the meal with a delicious and perfect slice of tiramisu."
274,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door."
275,Stick to the gulab jamun.
276,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
277,With the theater 2 blocks away we had a delicious meal in a beautiful room.
278,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.
279,The food is great and reasonably priced.
280,I would definitely recommend SEA if you like thai cuisine!
281,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
282,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had."
283,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment."
284,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
285,The food is prepared quickly and efficiently.
286,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven."
287,The food looked very appetizing and delicious since it came on a variety of fancy plates.
288,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
289,"The food is terrible and overall, I would have to say avoid at all costs."
290,"Unfortunately, the food was NOT something to get worked up about."
291,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
292,I had Filet Mignon with garlic mash.
293,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
294,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad."
295,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
296,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs."
297,He takes real pride in his food and his business.
298,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe."
299,"Over the years, it has always provided a pleasurable dining experience with quality food and wine."
300,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
301,too large for just two people but nothing was left.
302,I cannot imagine better Indian food in all of the city.
303,very good breads as well.
304,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
305,"Pizza is terrific, as is homemade pasta."
306,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations."
307,Consistently good Japanese Tapas.
308,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
309,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
310,The food is reliable and the price is moderate.
311,"While the ambiance and atmosphere were great, the food and service could have been a lot better."
312,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
313,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
314,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
315,The food is usually good but it certainly isn't a relaxing place to go.
316,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
317,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
318,"It's not mind-blowing, but to me, thai food never is and never will be."
319,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
320,"Although, one night we went it was super cheesy, and another night it was less cheesy."
321,"i've been to sapphire twice and both times the food was fine, if not good."
322,I love the fact that the pizza tastes so good and is so cheap.
323,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
324,The sushi was awful!
325,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
326,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
327,"Late nite omelletes are not good here, there is no variety!"
328,Everything at Sala Thai is tasty and well-portioned.
329,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
330,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
331,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
332,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic."
333,The scallion pancakes and fried dumplings were nothing out of the ordinary.
334,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
335,The food now is inconsistent.
336,I was pretty much full after our fondue appetizer.
337,BE CAREFUL before you request extra spice.
338,The octopus eaters were floored by the Octopus salad.
339,We thought that this place is using too much of MSG cooking in the foods.
340,And the Tom Kha soup was pathetic.
341,I started out with a Bombay beer which was big enough for two.
342,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
343,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
344,The best thing I tasted were the lambchops.
345,it's delicious!
346,The spicy tuna and salmon are the best we've ever had.
347,"Even though its good seafood, the prices are too high."
348,"In addition, the food is very good and the prices are reasonable."
349,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
350,"Try the crunchy tuna, it is to die for."
351,It won't break the bank but I also wouldnt come back for the food.
352,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side)."
353,"No refills on fountain drinks, though."
354,Wow over 100 beers to choose from.
355,Be careful of portions - they're HUGE.
356,"The Steak Tartare is a great bet, they fix it for you at the table."
357,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.
358,Did I mention the wine?
359,"Plus, on Wednesday nights the house wine is unlimited!"
360,Even my Indian friend couldn't believe how good and tasty everything was.
361,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.
362,The dim sum servings here are a bit larger than I'm used to.
363,We won't go to this place again for a good meal.
364,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
365,Taj Mahal offeres gret value and great food.
366,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
367,"Outstanding Bagels, but you get what you pay for."
368,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
369,They even have a section in the menu called American Chinese food!
370,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
371,kalbi and nebbiolo do work together.
372,"Best Italian food I ever had (and being Italian, that means alot)."
373,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.
374,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
375,I really loved the different and inovated touch that's the cheff gives to the food.
376,They came out over cooked and the cheese was almost non existant.
377,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
378,"The food is good, especially their more basic dishes, and the drinks are delicious."
379,But the main hit was the whole grilled fish.
380,The food is delicious and beautifully prepared along with the friendly and personable service.
381,Pizza here is consistently good.
382,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
383,Sauce was watery and the food didn't have much flavor.
384,My husband and I enjoy Sangria.
385,"But after last night, Spice Grill is the only place I'm eating indian cuisine."
386,We both opted for a pasta dish and they were served timely and fresh.
387,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
388,"In an area sadly lacking in decent Thai food, this is one of the best spots."
389,The food was average or above including some surprising tasty dishes.
390,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
391,Other apetizers and food
392,The noodle and rices dishes taste great.
393,The food's as good as ever.
394,"The crust is thin, the ingredients are fresh and the staff is friendly."
395,"the food was undercooked-the sauce watery, and the vegetables raw."
396,And the fried clams had just enough kick to them to make 'em worth eating.
397,The sauces used are also not that exciting.
398,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
399,The rice was poor quality and was cooked so badly it was hard.
400,We had champagne and caviar and felt like princesses!
401,The shrimp scampi was excellent and the antipasti were plentiful.
402,"I got the $10 10-piece dim sum combo, every bite of which was great."
403,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
404,If you like spicy food get the chicken vindaloo.
405,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.
406,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers."
407,And its absolutely DELICIOUS.
408,I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.
409,This is my first time writing a review for a restaurant because the food and service was excellent.
410,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city."
411,I have never before eaten 40 pieces of relatively good nigiri.
412,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
413,Have frequented 'ino for several years and the food remains excellent.
414,"Their eggplant is so delicate, sweet tender!"
415,"Each bite of food at Kai was indeed delicious, fresh, and elegant."
416,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
417,My friend got the mushroom pizza which tasted better.
418,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
419,You should pass on the calamari.
420,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle."
421,Try the spicy wontons and the salt pepper shrimps.
422,THE FOOD PORTIONS ARE REALLY LARGE.
423,The fries are yummy.
424,Best Taiwanese food in NY!
425,This place is a great stop for great food.
426,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
427,"they were dry and disgusting, i didn't even finish my first piece."
428,"All of it was simply amazing, unique and tasty and best of all it didn't break the bank."
429,"Great wine list, reasonably priced.--Sara"
430,The hot dogs were cold in the middle and the buns were stale.
431,"While the food was excellent, it wasn't cheap (though not extremely expensive either)."
432,Beef noodle soup is good as well.
433,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
434,They pray to their Food Gods to make them into a good pizza like VT's.
435,.the best I've found outside of the Chinatown masters.
436,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
437,"As much as I like the food there, I can't bring myself to go back."
438,It looked like shredded cheese partly done - still in strips.
439,The soup is pretty good too.
440,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
441,I always get the Shabu-Shabu dinner and the beef is always fresh.
442,The pizza was delivered cold and the cheese wasn't even fully melted!
443,We were very surprised by how good the food was on our first visit here on a Sunday night.
444,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables."
445,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
446,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC."
447,The food is amazing!!!!
448,"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues."
449,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic."
450,"For the price, you cannot eat this well in Manhattan."
